'Company Name', 'Internationale Vorwahl', 'Telefon', 'Telefax', 'Email', 'Internet', 'Bankverbindung', 'Straße-Adresse', 'Hausnummer', 'PLZ', 'Ort', 'Regierungsbezirk', 'Bundesland', 'Land', 'Zusätzl. Informationen', 'Rechtsform (kurz)', 'Hauptbranche WZ 2008', 'Top-Management'
"Adolf Moser, Fleischhauer und Viehhändler, Windischgarsten/Oberösterreich.".,+43,07562 53100,07562 53104, N/A,N/A,N/A,Windischgarsten,15,4580,Windischgarsten,Kirchdorf an der Krems,Oberösterreich,AT,Windischgarsten,eK,10130Fleischverarbeitung,N/A
"ABA" Martin Braun Handel mit Büromaschinen, Büromöbel und Bürobedarf,+43,01 21677440,01 533479150, N/A,N/A,UniCredit Bank Austria AG 1030 Wien (20151),Eschenbachgasse,9-11,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,eK,46660Großhandel mit sonstigen Büromaschinen und -einrichtungen,N/A
"acht" baurecycling GmbH.,+43,N/A,01 280143433, office@baurecycling.at, www.baurecycling.at,Erste Bank der oesterreichischen Sparkassen AG 3430 Tulln (20139),Süddruckgasse,9,2512,Tribuswinkel,Baden,Niederösterreich,AT,Tribuswinkel,GmbH,38320Rückgewinnung sortierter Werkstoffe,Geschäftsführer? vertritt seit 30.04.1999 selbständig|Ingenieur Erwin Hofstätter (m)f401030149#p401030149?400989922?120iconCompProfLink1964? Wien|N/A|30.04.1999|
"Adler" Werbegeschenke Vertriebsgesellschaft & Co KG,+43,05574 79199,05574 79170, adlercs@aol.com, www.adlerglobal.com,N/A,p.A. Metzler & Partner Steuer- u. Wirtsc,N/A,6900,Bregenz,Bregenz,Vorarlberg,AT,Bregenz,KG,46493Großhandel mit Lederwaren? Reisegepäck? Geschenk- und Werbeartikeln,N/A
"Adolf Moser, Fleischhauer und Viehhändler, Windischgarsten/Oberösterreich.".,+43,07562 53100,07562 53104, N/A,N/A,N/A,Windischgarsten,15,4580,Windischgarsten,Kirchdorf an der Krems,Oberösterreich,AT,Windischgarsten,eK,10130Fleischverarbeitung,N/A
"AESP Lanline" HandelsgmbH,+43,01 2023535,01 202353590, office@aesp.at, www.aesp.at,UniCredit Bank Austria AG 1010 Wien (12000),Paukerwerkstraße,6,1210,Wien,Korneuburg,Wien,AT,Wien,GmbH,46510Großhandel mit Datenverarbeitungsgeräten? peripheren Geräten und Software,Geschäftsführer? vertritt seit 22.09.2001 gemeinsam mit Mario Kauer|Robert Hartner (m)f401249423#p401249423?401249424?120iconCompProfLink1976? Gerasdorf|N/A|22.09.2001|!Geschäftsführer? vertritt seit 22.09.2001 gemeinsam mit Robert Hartner|Mario Kauer (m)f401249423#p401249423?401249425?120iconCompProfLink1977? Wien|N/A|22.09.2001|
"AEW" Automaten-, Elektrogeräte- und Werkzeugbau Gesellschaft m.b.H.,+43,02287 4161,02287 416125, office@aewwzb.at, www.aewwzb.at,UniCredit Bank Austria AG 1030 Wien (20151),Hauptstraße,10,2231,Strasshof,Gänserndorf,Niederösterreich,AT,Strasshof,GmbH,24100Erzeugung von Roheisen? Stahl und Ferrolegierungen,Geschäftsführer? vertritt seit 02.09.2015 selbständig|Dr. Christian Borstnar (m)f400003452#p400003452?402131455?120iconCompProfLink1970? Wien|N/A|11.09.2015|
"Aewige" ärztliche Wirtschaftsgesellschaft m.b.H.,+43,01 401041802,01 401049182, office@aewige.at, www.aewige.at,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1018 Wien? Österreichische Apothekerbank eG 1090 Wien? UniCredit Bank Austria AG 1010 Wien? VOLKSBANK WIEN AG 1090 Wien (14000? 44220? 12000? 43000),Haidestraße,4,1110,Wien,Wien 11.?Simmering,Wien,AT,Wien,GmbH,46450Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,Geschäftsführer? vertritt seit 10.01.2014 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Thomas Herfort (m)f400003092#p400003092?402407564?120iconCompProfLink1970? Wien|N/A|18.01.2014|!Geschäftsführer? vertritt seit 01.07.1993 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|August Mundschitz (m)f400003092#p400003092?400197070?120iconCompProfLink1960? Bisamberg|N/A|01.01.1993|!Geschäftsleitung? vertritt seit 02.05.2006 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|August Weinmeier (m)f400003092#p400003092?401037823?131iconCompProfLink1954? Kirchberg an der Pielach|Prokura|01.06.2006|
"agensketterl" Druckerei GmbH,+43,01 576100,01 57610666, info@diedrucker.biz, www.agensketterl.at,Raiffeisenlandesbank Niederösterreich-Wien AG 1010 Wien (31100),Druckhausstraße,1,2540,Bad Vöslau,Baden,Niederösterreich,AT,Bad Vöslau,GmbH,18120Drucken a. n. g.,Geschäftsführer? vertritt seit 18.11.2015 selbständig|Dipl.Ing. Fritz Kaltenegger (m)f401452647#p401452647?402490057?120iconCompProfLink1971? Bad Vöslau|N/A|08.12.2015|!Geschäftsführer? vertritt seit 18.11.2015 selbständig|Ingenieur Leopold Kurz (m)f401452647#p401452647?400110208?120iconCompProfLink1958? Wien|N/A|23.12.2004|!Geschäftsleitung? vertritt seit 01.07.2009 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Martin Wlacil (m)f401452647#p401452647?401748745?131iconCompProfLink1971? Laab im Walde|Prokura|18.07.2009|
"AGRO" Werbung GmbH,+43,0732 776641,0732 784067, post@agrowerbung.at, www.agrowerbung.at,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft 4020 Linz (34000),Harrachstraße,12,4020,Linz,Linz(Stadt),Oberösterreich,AT,Linz,GmbH,73110Werbeagenturen,Geschäftsführer? vertritt seit 08.04.2002 selbständig|Franz König (m)f400329734#p400329734?401292317?120iconCompProfLink1968? Schiedlberg|N/A|14.05.2002|
